
    userId,question,response
    63e1645e690cc9d7fcf52bd0,Age,2
    63e1645e690cc9d7fcf52bd0,Grade,1
    63e1645e690cc9d7fcf52bd0,Live With who,people
    63e1645e690cc9d7fcf52bd0,Family they can rely on,something
    63e1645e690cc9d7fcf52bd0,People outside of family they can rely on,people help me
    63e1645e690cc9d7fcf52bd0,Recent Death,someone died
    63e1645e690cc9d7fcf52bd0,Serious illness in family,someone sick
    63e1645e690cc9d7fcf52bd0,Are they more happy sad or somehwere in between,happy or sad?
    63e1645e690cc9d7fcf52bd0,What makes you sad,sad bc sad
    63e1645e690cc9d7fcf52bd0,What makes you happy,happy bc happy
    63e1645e690cc9d7fcf52bd0,What could make you happier,be happier
    63e1645e690cc9d7fcf52bd0,Are you making good grades in school,true
    63e1645e690cc9d7fcf52bd0,Are you getting in trouble in school,true
    63e1645e690cc9d7fcf52bd0,Do you have friends at school,true
    63e1645e690cc9d7fcf52bd0,Have any of your friends or classmates ever said or done anything that hurt you or make you feel bad,true
    63e1645e690cc9d7fcf52bd0,What do you really like to do,i like stuff
    undefined
    63e1645e690cc9d7fcf52bd0,What makes you worried,very worry
    63e1645e690cc9d7fcf52bd0,What could make you less worried,less worry
    63e1645e690cc9d7fcf52bd0,What is your greatest worry,big worry
    63e1645e690cc9d7fcf52bd0,What are you really good at,talents

    
