
    userId,question,response
    63ea86c4fd9ddbf82469e45e,Age,12
    63ea86c4fd9ddbf82469e45e,Grade,7
    63ea86c4fd9ddbf82469e45e,Live With who,people
    63ea86c4fd9ddbf82469e45e,Family they can rely on,null
    63ea86c4fd9ddbf82469e45e,People outside of family they can rely on,null
    63ea86c4fd9ddbf82469e45e,Recent Death,null
    63ea86c4fd9ddbf82469e45e,Serious illness in family,null
    63ea86c4fd9ddbf82469e45e,Are they more happy sad or somehwere in between,null
    63ea86c4fd9ddbf82469e45e,What makes you sad,null
    63ea86c4fd9ddbf82469e45e,What makes you happy,null
    63ea86c4fd9ddbf82469e45e,What could make you happier,null
    63ea86c4fd9ddbf82469e45e,Are you making good grades in school,null
    63ea86c4fd9ddbf82469e45e,Are you getting in trouble in school,null
    63ea86c4fd9ddbf82469e45e,Do you have friends at school,null
    63ea86c4fd9ddbf82469e45e,Have any of your friends or classmates ever said or done anything that hurt you or make you feel bad,null
    63ea86c4fd9ddbf82469e45e,What do you really like to do,null
    63ea86c4fd9ddbf82469e45e,What stops you from doing that,null
    63ea86c4fd9ddbf82469e45e,What makes you worried,null
    63ea86c4fd9ddbf82469e45e,What could make you less worried,null
    63ea86c4fd9ddbf82469e45e,What is your greatest worry,null
    63ea86c4fd9ddbf82469e45e,What are you really good at,null

    
