
    userId,question,response
    63f8d8008264f4a5e02d3635,Age,12
    63f8d8008264f4a5e02d3635,Grade,5
    63f8d8008264f4a5e02d3635,Live With who,mother father
    63f8d8008264f4a5e02d3635,Family they can rely on,mother
    63f8d8008264f4a5e02d3635,People outside of family they can rely on,people
    63f8d8008264f4a5e02d3635,Recent Death,mother
    63f8d8008264f4a5e02d3635,Serious illness in family,someone
    63f8d8008264f4a5e02d3635,Are they more happy sad or somehwere in between,mostly happy
    63f8d8008264f4a5e02d3635,What makes you sad,things make me sad
    63f8d8008264f4a5e02d3635,What makes you happy,things make me happy
    63f8d8008264f4a5e02d3635,What could make you happier,stuff even happier yay
    63f8d8008264f4a5e02d3635,Are you making good grades in school,true
    63f8d8008264f4a5e02d3635,Are you getting in trouble in school,false
    63f8d8008264f4a5e02d3635,Do you have friends at school,true
    63f8d8008264f4a5e02d3635,Have any of your friends or classmates ever said or done anything that hurt you or make you feel bad,false
    63f8d8008264f4a5e02d3635,What do you really like to do,things 
    63f8d8008264f4a5e02d3635,What stops you from doing that,rain
    63f8d8008264f4a5e02d3635,What makes you worried,true
    63f8d8008264f4a5e02d3635,What makes you worried,things make me worry
    63f8d8008264f4a5e02d3635,What could make you less worried,mom and dad stop fighting
    63f8d8008264f4a5e02d3635,What is your greatest worry,so worried
    63f8d8008264f4a5e02d3635,What are you really good at,really good at things

    
