
    userId,question,response
    6401062200c0ab6565b232d9,Age,12
    6401062200c0ab6565b232d9,Grade,12
    6401062200c0ab6565b232d9,Live With who,
    6401062200c0ab6565b232d9,Family they can rely on,
    6401062200c0ab6565b232d9,People outside of family they can rely on,null
    6401062200c0ab6565b232d9,Recent Death,null
    6401062200c0ab6565b232d9,Serious illness in family,null
    6401062200c0ab6565b232d9,Are they more happy sad or somehwere in between,null
    6401062200c0ab6565b232d9,What makes you sad,null
    6401062200c0ab6565b232d9,What makes you happy,null
    6401062200c0ab6565b232d9,What could make you happier,null
    6401062200c0ab6565b232d9,Are you making good grades in school,null
    6401062200c0ab6565b232d9,Are you getting in trouble in school,null
    6401062200c0ab6565b232d9,Do you have friends at school,null
    6401062200c0ab6565b232d9,Have any of your friends or classmates ever said or done anything that hurt you or make you feel bad,null
    6401062200c0ab6565b232d9,What do you really like to do,null
    6401062200c0ab6565b232d9,What stops you from doing that,null
    6401062200c0ab6565b232d9,What makes you worried,null
    6401062200c0ab6565b232d9,What makes you worried,null
    6401062200c0ab6565b232d9,What could make you less worried,null
    6401062200c0ab6565b232d9,What is your greatest worry,null
    6401062200c0ab6565b232d9,What are you really good at,null

    
