
    userId,question,response
    640a56a9cdb39eb42f3541c4,Age,12
    640a56a9cdb39eb42f3541c4,Grade,12
    640a56a9cdb39eb42f3541c4,Live With who,mother father
    640a56a9cdb39eb42f3541c4,Family they can rely on,mother father
    640a56a9cdb39eb42f3541c4,People outside of family they can rely on,null
    640a56a9cdb39eb42f3541c4,Recent Death,null
    640a56a9cdb39eb42f3541c4,Serious illness in family,null
    640a56a9cdb39eb42f3541c4,Are they more happy sad or somehwere in between,mostly happy
    640a56a9cdb39eb42f3541c4,What makes you sad,53rwefs
    640a56a9cdb39eb42f3541c4,What makes you happy,thdfb
    640a56a9cdb39eb42f3541c4,What could make you happier,jrtd
    640a56a9cdb39eb42f3541c4,Are you making good grades in school,false
    640a56a9cdb39eb42f3541c4,Are you getting in trouble in school,true
    640a56a9cdb39eb42f3541c4,Do you have friends at school,true
    640a56a9cdb39eb42f3541c4,Have any of your friends or classmates ever said or done anything that hurt you or make you feel bad,false
    640a56a9cdb39eb42f3541c4,What do you really like to do,gdsgseg
    640a56a9cdb39eb42f3541c4,What stops you from doing that,hdfbdfgs
    640a56a9cdb39eb42f3541c4,What makes you worried,false
    640a56a9cdb39eb42f3541c4,What makes you worried,null
    640a56a9cdb39eb42f3541c4,What could make you less worried,null
    640a56a9cdb39eb42f3541c4,What is your greatest worry,gerds
    640a56a9cdb39eb42f3541c4,What are you really good at,soccer

    
