
    userId,question,response
    640a574fcdb39eb42f3541c6,Age,21
    640a574fcdb39eb42f3541c6,Grade,12
    640a574fcdb39eb42f3541c6,Live With who,mother father
    640a574fcdb39eb42f3541c6,Family they can rely on,mother father
    640a574fcdb39eb42f3541c6,People outside of family they can rely on,null
    640a574fcdb39eb42f3541c6,Recent Death,null
    640a574fcdb39eb42f3541c6,Serious illness in family,null
    640a574fcdb39eb42f3541c6,Are they more happy sad or somehwere in between,mostly happy
    640a574fcdb39eb42f3541c6,What makes you sad,gewsd
    640a574fcdb39eb42f3541c6,What makes you happy,gfdgd
    640a574fcdb39eb42f3541c6,What could make you happier,dgsga
    640a574fcdb39eb42f3541c6,Are you making good grades in school,true
    640a574fcdb39eb42f3541c6,Are you getting in trouble in school,false
    640a574fcdb39eb42f3541c6,Do you have friends at school,true
    640a574fcdb39eb42f3541c6,Have any of your friends or classmates ever said or done anything that hurt you or make you feel bad,false
    640a574fcdb39eb42f3541c6,What do you really like to do,gggg
    640a574fcdb39eb42f3541c6,What stops you from doing that,gggggf
    640a574fcdb39eb42f3541c6,What makes you worried,false
    640a574fcdb39eb42f3541c6,What makes you worried,null
    640a574fcdb39eb42f3541c6,What could make you less worried,null
    640a574fcdb39eb42f3541c6,What is your greatest worry,ffff
    640a574fcdb39eb42f3541c6,What are you really good at,ffffff

    
