
    userId,question,response
    640a583ae6fbdb240398854b,Age,12
    640a583ae6fbdb240398854b,Grade,12
    640a583ae6fbdb240398854b,Live With who,mother father
    640a583ae6fbdb240398854b,Family they can rely on,mother father
    640a583ae6fbdb240398854b,People outside of family they can rely on,null
    640a583ae6fbdb240398854b,Recent Death,null
    640a583ae6fbdb240398854b,Serious illness in family,null
    640a583ae6fbdb240398854b,Are they more happy sad or somehwere in between,mostly happy
    640a583ae6fbdb240398854b,What makes you sad,hgehiofawhioh
    640a583ae6fbdb240398854b,What makes you happy,fedfw
    640a583ae6fbdb240398854b,What could make you happier,jhgfd
    640a583ae6fbdb240398854b,Are you making good grades in school,false
    640a583ae6fbdb240398854b,Are you getting in trouble in school,false
    640a583ae6fbdb240398854b,Do you have friends at school,true
    640a583ae6fbdb240398854b,Have any of your friends or classmates ever said or done anything that hurt you or make you feel bad,false
    640a583ae6fbdb240398854b,What do you really like to do,gggg
    640a583ae6fbdb240398854b,What stops you from doing that,gggg
    640a583ae6fbdb240398854b,What makes you worried,false
    640a583ae6fbdb240398854b,What makes you worried,null
    640a583ae6fbdb240398854b,What could make you less worried,null
    640a583ae6fbdb240398854b,What is your greatest worry,ddd
    640a583ae6fbdb240398854b,What are you really good at,soccer

    
