
    userId,question,response
    640a59e1879faebfee913af7,Age,12
    640a59e1879faebfee913af7,Grade,6
    640a59e1879faebfee913af7,Live With who,mother father
    640a59e1879faebfee913af7,Family they can rely on,father
    640a59e1879faebfee913af7,People outside of family they can rely on,null
    640a59e1879faebfee913af7,Recent Death,null
    640a59e1879faebfee913af7,Serious illness in family,null
    640a59e1879faebfee913af7,Are they more happy sad or somehwere in between,mostly happy
    640a59e1879faebfee913af7,What makes you sad,hfds
    640a59e1879faebfee913af7,What makes you happy,jhgfd
    640a59e1879faebfee913af7,What could make you happier,kjhgfds
    640a59e1879faebfee913af7,Are you making good grades in school,false
    640a59e1879faebfee913af7,Are you getting in trouble in school,false
    640a59e1879faebfee913af7,Do you have friends at school,false
    640a59e1879faebfee913af7,Have any of your friends or classmates ever said or done anything that hurt you or make you feel bad,false
    640a59e1879faebfee913af7,What do you really like to do,hgfds
    640a59e1879faebfee913af7,What stops you from doing that,gggg
    640a59e1879faebfee913af7,What makes you worried,false
    640a59e1879faebfee913af7,What makes you worried,null
    640a59e1879faebfee913af7,What could make you less worried,null
    640a59e1879faebfee913af7,What is your greatest worry,ggg
    640a59e1879faebfee913af7,What are you really good at,soccer

    
