
    userId,question,response
    640a5acffe8b204491169611,Age,21
    640a5acffe8b204491169611,Grade,222
    640a5acffe8b204491169611,Live With who,mother father
    640a5acffe8b204491169611,Family they can rely on,mother father
    640a5acffe8b204491169611,People outside of family they can rely on,null
    640a5acffe8b204491169611,Recent Death,null
    640a5acffe8b204491169611,Serious illness in family,null
    640a5acffe8b204491169611,Are they more happy sad or somehwere in between,mostly happy
    640a5acffe8b204491169611,What makes you sad,ggg
    640a5acffe8b204491169611,What makes you happy,iowegjoiew
    640a5acffe8b204491169611,What could make you happier,fsefwe
    640a5acffe8b204491169611,Are you making good grades in school,false
    640a5acffe8b204491169611,Are you getting in trouble in school,false
    640a5acffe8b204491169611,Do you have friends at school,false
    640a5acffe8b204491169611,Have any of your friends or classmates ever said or done anything that hurt you or make you feel bad,false
    640a5acffe8b204491169611,What do you really like to do,fff
    640a5acffe8b204491169611,What stops you from doing that,fff
    640a5acffe8b204491169611,What makes you worried,false
    640a5acffe8b204491169611,What makes you worried,null
    640a5acffe8b204491169611,What could make you less worried,null
    640a5acffe8b204491169611,What is your greatest worry,fffff
    640a5acffe8b204491169611,What are you really good at,soccer

    
