
    userId,question,response
    640a5be70eaef94c8481afb3,Age,12
    640a5be70eaef94c8481afb3,Grade,7
    640a5be70eaef94c8481afb3,Live With who,mother father
    640a5be70eaef94c8481afb3,Family they can rely on,mother father
    640a5be70eaef94c8481afb3,People outside of family they can rely on,null
    640a5be70eaef94c8481afb3,Recent Death,null
    640a5be70eaef94c8481afb3,Serious illness in family,null
    640a5be70eaef94c8481afb3,Are they more happy sad or somehwere in between,mostly happy
    640a5be70eaef94c8481afb3,What makes you sad,jiojegiom
    640a5be70eaef94c8481afb3,What makes you happy,grdgheasf
    640a5be70eaef94c8481afb3,What could make you happier,fewefq
    640a5be70eaef94c8481afb3,Are you making good grades in school,false
    640a5be70eaef94c8481afb3,Are you getting in trouble in school,false
    640a5be70eaef94c8481afb3,Do you have friends at school,false
    640a5be70eaef94c8481afb3,Have any of your friends or classmates ever said or done anything that hurt you or make you feel bad,false
    640a5be70eaef94c8481afb3,What do you really like to do,fffff
    640a5be70eaef94c8481afb3,What stops you from doing that,ffff
    640a5be70eaef94c8481afb3,What makes you worried,false
    640a5be70eaef94c8481afb3,What makes you worried,null
    640a5be70eaef94c8481afb3,What could make you less worried,null
    640a5be70eaef94c8481afb3,What is your greatest worry,ffff
    640a5be70eaef94c8481afb3,What are you really good at,soccer

    
