
    userId,question,response
    640b3c5a9f3b539ae2fc83cf,Age,12
    640b3c5a9f3b539ae2fc83cf,Grade,12
    640b3c5a9f3b539ae2fc83cf,Live With who,mother father
    640b3c5a9f3b539ae2fc83cf,Family they can rely on,mother father
    640b3c5a9f3b539ae2fc83cf,People outside of family they can rely on,null
    640b3c5a9f3b539ae2fc83cf,Recent Death,null
    640b3c5a9f3b539ae2fc83cf,Serious illness in family,null
    640b3c5a9f3b539ae2fc83cf,Are they more happy sad or somehwere in between,null
    640b3c5a9f3b539ae2fc83cf,What makes you sad,null
    640b3c5a9f3b539ae2fc83cf,What makes you happy,null
    640b3c5a9f3b539ae2fc83cf,What could make you happier,null
    640b3c5a9f3b539ae2fc83cf,Are you making good grades in school,null
    640b3c5a9f3b539ae2fc83cf,Are you getting in trouble in school,null
    640b3c5a9f3b539ae2fc83cf,Do you have friends at school,null
    640b3c5a9f3b539ae2fc83cf,Have any of your friends or classmates ever said or done anything that hurt you or make you feel bad,null
    640b3c5a9f3b539ae2fc83cf,What do you really like to do,null
    640b3c5a9f3b539ae2fc83cf,What stops you from doing that,null
    640b3c5a9f3b539ae2fc83cf,What makes you worried,null
    640b3c5a9f3b539ae2fc83cf,What makes you worried,null
    640b3c5a9f3b539ae2fc83cf,What could make you less worried,null
    640b3c5a9f3b539ae2fc83cf,What is your greatest worry,null
    640b3c5a9f3b539ae2fc83cf,What are you really good at,null

    
