
    userId,question,response
    640b4540b015a15f16831fc4,Age,12
    640b4540b015a15f16831fc4,Grade,12
    640b4540b015a15f16831fc4,Live With who,mother father
    640b4540b015a15f16831fc4,Family they can rely on,mother father
    640b4540b015a15f16831fc4,People outside of family they can rely on,null
    640b4540b015a15f16831fc4,Recent Death,null
    640b4540b015a15f16831fc4,Serious illness in family,null
    640b4540b015a15f16831fc4,Are they more happy sad or somehwere in between,mostly happy
    640b4540b015a15f16831fc4,What makes you sad,12
    640b4540b015a15f16831fc4,What makes you happy,12
    640b4540b015a15f16831fc4,What could make you happier,gsdg
    640b4540b015a15f16831fc4,Are you making good grades in school,false
    640b4540b015a15f16831fc4,Are you getting in trouble in school,false
    640b4540b015a15f16831fc4,Do you have friends at school,true
    640b4540b015a15f16831fc4,Have any of your friends or classmates ever said or done anything that hurt you or make you feel bad,false
    640b4540b015a15f16831fc4,What do you really like to do,grs
    640b4540b015a15f16831fc4,What stops you from doing that,grsd
    640b4540b015a15f16831fc4,What makes you worried,false
    640b4540b015a15f16831fc4,What makes you worried,null
    640b4540b015a15f16831fc4,What could make you less worried,null
    640b4540b015a15f16831fc4,What is your greatest worry,dawdq
    640b4540b015a15f16831fc4,What are you really good at,soccer

    
