
    userId,question,response
    640b473ab96e8f09f445f85d,Age,13
    640b473ab96e8f09f445f85d,Grade,6
    640b473ab96e8f09f445f85d,Live With who,mother father
    640b473ab96e8f09f445f85d,Family they can rely on,mother father
    640b473ab96e8f09f445f85d,People outside of family they can rely on,null
    640b473ab96e8f09f445f85d,Recent Death,null
    640b473ab96e8f09f445f85d,Serious illness in family,null
    640b473ab96e8f09f445f85d,Are they more happy sad or somehwere in between,mostly happy
    640b473ab96e8f09f445f85d,What makes you sad,feq
    640b473ab96e8f09f445f85d,What makes you happy,fdd
    640b473ab96e8f09f445f85d,What could make you happier,sd
    640b473ab96e8f09f445f85d,Are you making good grades in school,false
    640b473ab96e8f09f445f85d,Are you getting in trouble in school,false
    640b473ab96e8f09f445f85d,Do you have friends at school,false
    640b473ab96e8f09f445f85d,Have any of your friends or classmates ever said or done anything that hurt you or make you feel bad,false
    640b473ab96e8f09f445f85d,What do you really like to do,jhgfd
    640b473ab96e8f09f445f85d,What stops you from doing that,sges
    640b473ab96e8f09f445f85d,What makes you worried,false
    640b473ab96e8f09f445f85d,What makes you worried,null
    640b473ab96e8f09f445f85d,What could make you less worried,null
    640b473ab96e8f09f445f85d,What is your greatest worry,f
    640b473ab96e8f09f445f85d,What are you really good at,soccer

    
