
    userId,question,response
    640b5385ace4b770cfed9eec,Age,12
    640b5385ace4b770cfed9eec,Grade,12
    640b5385ace4b770cfed9eec,Live With who,mother father
    640b5385ace4b770cfed9eec,Family they can rely on,mother
    640b5385ace4b770cfed9eec,People outside of family they can rely on,null
    640b5385ace4b770cfed9eec,Recent Death,null
    640b5385ace4b770cfed9eec,Serious illness in family,null
    640b5385ace4b770cfed9eec,Are they more happy sad or somehwere in between,mostly happy
    640b5385ace4b770cfed9eec,What makes you sad,fds
    640b5385ace4b770cfed9eec,What makes you happy,gfds
    640b5385ace4b770cfed9eec,What could make you happier,hgfd
    640b5385ace4b770cfed9eec,Are you making good grades in school,false
    640b5385ace4b770cfed9eec,Are you getting in trouble in school,false
    640b5385ace4b770cfed9eec,Do you have friends at school,false
    640b5385ace4b770cfed9eec,Have any of your friends or classmates ever said or done anything that hurt you or make you feel bad,false
    640b5385ace4b770cfed9eec,What do you really like to do,gf
    640b5385ace4b770cfed9eec,What stops you from doing that,bv
    640b5385ace4b770cfed9eec,What makes you worried,false
    640b5385ace4b770cfed9eec,What makes you worried,null
    640b5385ace4b770cfed9eec,What could make you less worried,null
    640b5385ace4b770cfed9eec,What is your greatest worry,hgfd
    640b5385ace4b770cfed9eec,What are you really good at,soccer

    
