
    userId,question,response
    640f620394cf6e8db51b765d,Age,12
    640f620394cf6e8db51b765d,Grade,6
    640f620394cf6e8db51b765d,Live With who,mother father
    640f620394cf6e8db51b765d,Family they can rely on,mother father
    640f620394cf6e8db51b765d,People outside of family they can rely on,pop pop
    640f620394cf6e8db51b765d,Recent Death,my cat
    640f620394cf6e8db51b765d,Serious illness in family,mom
    640f620394cf6e8db51b765d,Are they more happy sad or somehwere in between,mostly happy
    640f620394cf6e8db51b765d,What makes you sad,things
    640f620394cf6e8db51b765d,What makes you happy,flowers
    640f620394cf6e8db51b765d,What could make you happier,stuff
    640f620394cf6e8db51b765d,Are you making good grades in school,true
    640f620394cf6e8db51b765d,Are you getting in trouble in school,false
    640f620394cf6e8db51b765d,Do you have friends at school,true
    640f620394cf6e8db51b765d,Have any of your friends or classmates ever said or done anything that hurt you or make you feel bad,false
    640f620394cf6e8db51b765d,What do you really like to do,play soccer
    640f620394cf6e8db51b765d,What stops you from doing that,the rain sometimes
    640f620394cf6e8db51b765d,What makes you worried,true
    640f620394cf6e8db51b765d,What makes you worried,rain
    640f620394cf6e8db51b765d,What could make you less worried,no more rain
    640f620394cf6e8db51b765d,What is your greatest worry,dogs
    640f620394cf6e8db51b765d,What are you really good at,soccer

    
